metric,value,classifier,n_features,elapsed_time,it,dataset
accuracy_score_test,0.5806451612903226,log,54,1.2574126720428467,0,teaching-assistant-evaluation
accuracy_score_test,0.5483870967741935,mcji,21,188.07977747917175,0,teaching-assistant-evaluation
accuracy_score_test,0.4838709677419355,mic,32,1.8560221195220947,0,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,log,54,0.16440463066101074,1,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,mcji,43,185.14500188827515,1,teaching-assistant-evaluation
accuracy_score_test,0.6129032258064516,mic,43,1.7297046184539795,1,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,log,54,0.12573552131652832,2,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,mcji,43,181.57677030563354,2,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,mic,43,1.6541147232055664,2,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,log,54,0.12662076950073242,3,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,mcji,43,180.9901692867279,3,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,mic,43,1.7772486209869385,3,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,log,54,0.12682843208312988,4,teaching-assistant-evaluation
accuracy_score_test,0.6129032258064516,mcji,32,180.4600419998169,4,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,mic,43,1.6462481021881104,4,teaching-assistant-evaluation
accuracy_score_test,0.65,log,9,0.03883099555969238,0,fertility
accuracy_score_test,0.7,mcji,7,4.3818700313568115,0,fertility
accuracy_score_test,0.75,mic,5,0.2205047607421875,0,fertility
accuracy_score_test,0.65,log,9,0.0392763614654541,1,fertility
accuracy_score_test,0.75,mcji,7,4.334588527679443,1,fertility
accuracy_score_test,0.65,mic,3,0.282456636428833,1,fertility
accuracy_score_test,0.65,log,9,0.036966800689697266,2,fertility
accuracy_score_test,0.7,mcji,7,4.4202470779418945,2,fertility
accuracy_score_test,0.65,mic,3,0.22212529182434082,2,fertility
accuracy_score_test,0.65,log,9,0.038161277770996094,3,fertility
accuracy_score_test,0.7,mcji,7,4.453859806060791,3,fertility
accuracy_score_test,0.8,mic,3,0.27333569526672363,3,fertility
accuracy_score_test,0.65,log,9,0.0392758846282959,4,fertility
accuracy_score_test,0.7,mcji,7,4.7846832275390625,4,fertility
accuracy_score_test,0.65,mic,3,0.23296809196472168,4,fertility
accuracy_score_test,0.6410256410256411,log,21,0.056722164154052734,0,parkinsons
accuracy_score_test,0.6666666666666666,mcji,16,26.15725827217102,0,parkinsons
accuracy_score_test,0.6923076923076923,mic,12,0.6138956546783447,0,parkinsons
accuracy_score_test,0.6410256410256411,log,21,0.05214738845825195,1,parkinsons
accuracy_score_test,0.717948717948718,mcji,8,24.618585348129272,1,parkinsons
accuracy_score_test,0.6923076923076923,mic,12,0.5502808094024658,1,parkinsons
accuracy_score_test,0.6410256410256411,log,21,0.054659366607666016,2,parkinsons
accuracy_score_test,0.6666666666666666,mcji,16,26.2315456867218,2,parkinsons
accuracy_score_test,0.6923076923076923,mic,12,0.5486104488372803,2,parkinsons
accuracy_score_test,0.6410256410256411,log,21,0.04979300498962402,3,parkinsons
accuracy_score_test,0.717948717948718,mcji,8,26.570831298828125,3,parkinsons
accuracy_score_test,0.6923076923076923,mic,12,0.5495402812957764,3,parkinsons
accuracy_score_test,0.6410256410256411,log,21,0.05522799491882324,4,parkinsons
accuracy_score_test,0.6666666666666666,mcji,16,26.69400405883789,4,parkinsons
accuracy_score_test,0.6923076923076923,mic,12,0.5734941959381104,4,parkinsons
accuracy_score_test,0.75,log,4,0.030603647232055664,0,balloons-d
accuracy_score_test,0.5,mcji,3,1.084937334060669,0,balloons-d
accuracy_score_test,0.75,mic,3,0.12448716163635254,0,balloons-d
accuracy_score_test,0.75,log,4,0.031076431274414062,1,balloons-d
accuracy_score_test,0.75,mcji,3,1.0593667030334473,1,balloons-d
accuracy_score_test,0.75,mic,3,0.12565851211547852,1,balloons-d
accuracy_score_test,0.75,log,4,0.03732466697692871,2,balloons-d
accuracy_score_test,0.75,mcji,3,1.0625543594360352,2,balloons-d
accuracy_score_test,0.75,mic,3,0.1254286766052246,2,balloons-d
accuracy_score_test,0.75,log,4,0.03415513038635254,3,balloons-d
accuracy_score_test,0.75,mcji,3,1.0454096794128418,3,balloons-d
accuracy_score_test,0.75,mic,3,0.12363886833190918,3,balloons-d
accuracy_score_test,0.75,log,4,0.03656911849975586,4,balloons-d
accuracy_score_test,0.75,mcji,3,1.0793755054473877,4,balloons-d
accuracy_score_test,0.75,mic,3,0.12314605712890625,4,balloons-d
accuracy_score_test,0.8125,log,44,0.06328845024108887,0,spectf-heart
accuracy_score_test,0.75,mcji,35,111.47142243385315,0,spectf-heart
accuracy_score_test,0.8125,mic,35,1.0598013401031494,0,spectf-heart
accuracy_score_test,0.8125,log,44,0.06234908103942871,1,spectf-heart
accuracy_score_test,0.75,mcji,35,109.28938937187195,1,spectf-heart
accuracy_score_test,0.8125,mic,35,0.9244022369384766,1,spectf-heart
accuracy_score_test,0.8125,log,44,0.06494617462158203,2,spectf-heart
accuracy_score_test,0.75,mcji,35,112.35590672492981,2,spectf-heart
accuracy_score_test,0.8125,mic,35,0.9774763584136963,2,spectf-heart
accuracy_score_test,0.8125,log,44,0.06195831298828125,3,spectf-heart
accuracy_score_test,0.6875,mcji,35,113.6968309879303,3,spectf-heart
accuracy_score_test,0.75,mic,35,0.9910602569580078,3,spectf-heart
accuracy_score_test,0.8125,log,44,0.062448978424072266,4,spectf-heart
accuracy_score_test,0.75,mcji,35,109.63871812820435,4,spectf-heart
accuracy_score_test,0.75,mic,35,1.116490364074707,4,spectf-heart
accuracy_score_test,0.6666666666666666,log,4,0.041376352310180664,0,hayes-roth
accuracy_score_test,0.7407407407407407,mcji,3,1.0200324058532715,0,hayes-roth
accuracy_score_test,0.5185185185185185,mic,2,0.18023681640625,0,hayes-roth
accuracy_score_test,0.6666666666666666,log,4,0.1228034496307373,1,hayes-roth
accuracy_score_test,0.7407407407407407,mcji,3,0.9750759601593018,1,hayes-roth
accuracy_score_test,0.5185185185185185,mic,2,0.25322747230529785,1,hayes-roth
accuracy_score_test,0.6666666666666666,log,4,0.04126334190368652,2,hayes-roth
accuracy_score_test,0.6296296296296297,mcji,3,0.9999082088470459,2,hayes-roth
accuracy_score_test,0.5925925925925926,mic,2,0.1795487403869629,2,hayes-roth
accuracy_score_test,0.6666666666666666,log,4,0.04404187202453613,3,hayes-roth
accuracy_score_test,0.6296296296296297,mcji,3,1.0168964862823486,3,hayes-roth
accuracy_score_test,0.6296296296296297,mic,2,0.18448376655578613,3,hayes-roth
accuracy_score_test,0.6666666666666666,log,4,0.042893409729003906,4,hayes-roth
accuracy_score_test,0.7407407407407407,mcji,3,1.021376132965088,4,hayes-roth
accuracy_score_test,0.4444444444444444,mic,1,0.1845095157623291,4,hayes-roth
accuracy_score_test,0.5897435897435898,log,32,0.0948944091796875,0,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.6923076923076923,mcji,25,59.50845503807068,0,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.5641025641025641,mic,25,0.878788948059082,0,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.5897435897435898,log,32,0.09111428260803223,1,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.6923076923076923,mcji,25,60.440470933914185,1,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.5897435897435898,mic,19,0.8607425689697266,1,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.5897435897435898,log,32,0.08641290664672852,2,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.6923076923076923,mcji,25,58.31769323348999,2,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.5384615384615384,mic,19,0.7608718872070312,2,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.5897435897435898,log,32,0.08114242553710938,3,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.6923076923076923,mcji,25,61.59573173522949,3,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.5384615384615384,mic,19,0.816685676574707,3,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.5897435897435898,log,32,0.09118270874023438,4,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.6923076923076923,mcji,25,59.39163160324097,4,breast-cancer-wisconsin-prognostic
accuracy_score_test,0.5384615384615384,mic,19,0.7564694881439209,4,breast-cancer-wisconsin-prognostic
accuracy_score_test,1.0,log,45,0.04372215270996094,0,soybean-small
accuracy_score_test,1.0,mcji,36,121.33343815803528,0,soybean-small
accuracy_score_test,1.0,mic,18,1.4849114418029785,0,soybean-small
accuracy_score_test,1.0,log,45,0.07658982276916504,1,soybean-small
accuracy_score_test,1.0,mcji,36,124.13096404075623,1,soybean-small
accuracy_score_test,1.0,mic,18,1.2466447353363037,1,soybean-small
accuracy_score_test,1.0,log,45,0.11955642700195312,2,soybean-small
accuracy_score_test,1.0,mcji,36,124.9113564491272,2,soybean-small
accuracy_score_test,1.0,mic,27,1.4520647525787354,2,soybean-small
accuracy_score_test,1.0,log,45,0.09762120246887207,3,soybean-small
accuracy_score_test,1.0,mcji,27,126.8188648223877,3,soybean-small
accuracy_score_test,1.0,mic,27,1.4538664817810059,3,soybean-small
accuracy_score_test,1.0,log,45,0.08244085311889648,4,soybean-small
accuracy_score_test,1.0,mcji,36,126.57262706756592,4,soybean-small
accuracy_score_test,1.0,mic,27,1.3113315105438232,4,soybean-small
accuracy_score_test,1.0,log,4,0.11955857276916504,0,balloons-c
accuracy_score_test,0.75,mcji,3,0.9254624843597412,0,balloons-c
accuracy_score_test,1.0,mic,2,0.21988320350646973,0,balloons-c
accuracy_score_test,1.0,log,4,0.033178091049194336,1,balloons-c
accuracy_score_test,0.75,mcji,3,0.9355554580688477,1,balloons-c
accuracy_score_test,1.0,mic,2,0.21808838844299316,1,balloons-c
accuracy_score_test,1.0,log,4,0.03576231002807617,2,balloons-c
accuracy_score_test,0.75,mcji,3,0.9493494033813477,2,balloons-c
accuracy_score_test,1.0,mic,2,0.18493056297302246,2,balloons-c
accuracy_score_test,1.0,log,4,0.03209972381591797,3,balloons-c
accuracy_score_test,0.75,mcji,3,0.9680459499359131,3,balloons-c
accuracy_score_test,1.0,mic,2,0.18520593643188477,3,balloons-c
accuracy_score_test,1.0,log,4,0.031408071517944336,4,balloons-c
accuracy_score_test,0.75,mcji,3,0.9773645401000977,4,balloons-c
accuracy_score_test,1.0,mic,2,0.15818500518798828,4,balloons-c
accuracy_score_test,1.0,log,4,0.03497481346130371,0,balloons-b
accuracy_score_test,1.0,mcji,3,0.964205265045166,0,balloons-b
accuracy_score_test,1.0,mic,2,0.14529919624328613,0,balloons-b
accuracy_score_test,1.0,log,4,0.033972978591918945,1,balloons-b
accuracy_score_test,1.0,mcji,3,0.9708337783813477,1,balloons-b
accuracy_score_test,1.0,mic,2,0.14309215545654297,1,balloons-b
