metric,value,classifier,n_features,elapsed_time,it,dataset
accuracy_score_test,0.7580645161290323,log,3,1.1394975185394287,0,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.481827974319458,0,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.09499192237854004,0,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.04001760482788086,1,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.10103392601013184,1,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.10814023017883301,1,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.04290652275085449,2,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.12450885772705078,2,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.10468769073486328,2,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.03845953941345215,3,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.09581208229064941,3,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.0992579460144043,3,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.03864717483520508,4,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.09741544723510742,4,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.10150647163391113,4,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.03882765769958496,5,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.10436010360717773,5,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.09885168075561523,5,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.04331350326538086,6,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.11403560638427734,6,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.11957788467407227,6,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.04067111015319824,7,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.10463833808898926,7,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.11259794235229492,7,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.03896903991699219,8,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.10068845748901367,8,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.1018972396850586,8,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.03919482231140137,9,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.0983433723449707,9,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.09893655776977539,9,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.048336029052734375,10,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.10609650611877441,10,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.12298202514648438,10,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.04053449630737305,11,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.10262084007263184,11,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.09344792366027832,11,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.0385897159576416,12,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.10067510604858398,12,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.10312581062316895,12,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.04323720932006836,13,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.13448500633239746,13,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.10794639587402344,13,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.046037912368774414,14,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.12506365776062012,14,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.12956023216247559,14,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.04021620750427246,15,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.11141371726989746,15,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.10622215270996094,15,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.0417633056640625,16,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.11884236335754395,16,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.10325264930725098,16,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.041043996810913086,17,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.10736441612243652,17,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.11210823059082031,17,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.05911135673522949,18,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.11977267265319824,18,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.1237037181854248,18,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.04016566276550293,19,haberman-survival
accuracy_score_test,0.7580645161290323,mcji,2,0.10544204711914062,19,haberman-survival
accuracy_score_test,0.7258064516129032,mic,2,0.10886931419372559,19,haberman-survival
accuracy_score_test,0.7580645161290323,log,3,0.06765270233154297,20,haberman-survival
