metric,value,classifier,n_features,elapsed_time,it,dataset
accuracy_score_test,0.7419354838709677,log,3,1.3976514339447021,0,haberman-survival
accuracy_score_test,0.7419354838709677,mcji,1,1.5323889255523682,0,haberman-survival
accuracy_score_test,0.7419354838709677,mic,2,1.2392005920410156,0,haberman-survival
accuracy_score_test,0.7419354838709677,log,3,0.21825337409973145,1,haberman-survival
accuracy_score_test,0.7419354838709677,mcji,1,1.0946762561798096,1,haberman-survival
accuracy_score_test,0.7419354838709677,mic,2,1.0582671165466309,1,haberman-survival
accuracy_score_test,0.7419354838709677,log,3,0.20346760749816895,2,haberman-survival
accuracy_score_test,0.7419354838709677,mcji,1,1.0704212188720703,2,haberman-survival
accuracy_score_test,0.7419354838709677,mic,2,1.111130952835083,2,haberman-survival
accuracy_score_test,0.7419354838709677,log,3,0.21826601028442383,3,haberman-survival
accuracy_score_test,0.7419354838709677,mcji,1,1.095034122467041,3,haberman-survival
accuracy_score_test,0.7419354838709677,mic,2,1.0475082397460938,3,haberman-survival
accuracy_score_test,0.7419354838709677,log,3,0.19961285591125488,4,haberman-survival
accuracy_score_test,0.7419354838709677,mcji,1,1.0954177379608154,4,haberman-survival
accuracy_score_test,0.7419354838709677,mic,2,1.0576612949371338,4,haberman-survival
accuracy_score_test,0.7295081967213115,log,100,43.913418769836426,0,hill-valley-noise
accuracy_score_test,0.7295081967213115,mcji,90,143.34471154212952,0,hill-valley-noise
accuracy_score_test,0.680327868852459,mic,60,141.66917729377747,0,hill-valley-noise
accuracy_score_test,0.7295081967213115,log,100,41.73713302612305,1,hill-valley-noise
accuracy_score_test,0.7295081967213115,mcji,90,134.7408149242401,1,hill-valley-noise
accuracy_score_test,0.680327868852459,mic,60,130.73369979858398,1,hill-valley-noise
accuracy_score_test,0.7295081967213115,log,100,43.894402503967285,2,hill-valley-noise
accuracy_score_test,0.7295081967213115,mcji,90,142.30414605140686,2,hill-valley-noise
accuracy_score_test,0.680327868852459,mic,60,135.8346288204193,2,hill-valley-noise
accuracy_score_test,0.7295081967213115,log,100,42.57537269592285,3,hill-valley-noise
accuracy_score_test,0.7295081967213115,mcji,90,136.16052222251892,3,hill-valley-noise
accuracy_score_test,0.680327868852459,mic,60,146.25263094902039,3,hill-valley-noise
accuracy_score_test,0.7295081967213115,log,100,47.07965302467346,4,hill-valley-noise
accuracy_score_test,0.7295081967213115,mcji,90,152.65025210380554,4,hill-valley-noise
accuracy_score_test,0.680327868852459,mic,60,156.12436032295227,4,hill-valley-noise
accuracy_score_test,0.5483870967741935,log,54,3.360441207885742,0,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,mcji,43,46.822287797927856,0,teaching-assistant-evaluation
accuracy_score_test,0.6451612903225806,mic,37,12.116766214370728,0,teaching-assistant-evaluation
accuracy_score_test,0.5483870967741935,log,54,3.7240450382232666,1,teaching-assistant-evaluation
accuracy_score_test,0.5806451612903226,mcji,43,12.099956274032593,1,teaching-assistant-evaluation
accuracy_score_test,0.6451612903225806,mic,37,12.103967428207397,1,teaching-assistant-evaluation
accuracy_score_test,0.5483870967741935,log,54,4.005219459533691,2,teaching-assistant-evaluation
